
########################
###### TV-OSMOSIS ######
########################

experiment: 1
alpha blur: no
initial.  : u0 = f

###### PARAMETERS ######
-- model --
eta             : 0.50
mu              : 100.00
gamma           : 1.00
epsilon (huber) : 0.05
-- iPiano --
beta1           : 0.40
beta2           : 0.40
lambda1         : 2.00
lambda2         : 1.20
L1 (starting)   : 1.00
L2 (starting)   : 1.00
tol iPiano      : 1.00e-06
maxiter         : 10000
-- Primal-Dual --
tol PD          : 1.00e-04
maxiter PD      : 10000
-------------------------------------------------------------------------
   055   | (4.34e-01 | 4.55e+05) | 7.4027e+03 | 7.51e-06 | 2.91e-05 (5)
   056   | (7.24e-01 | 3.79e+05) | 7.4027e+03 | 5.98e-06 | 3.42e-05 (5)
   057   | (6.03e-01 | 6.32e+05) | 7.4026e+03 | 5.62e-06 | 9.85e-05 (4)
   058   | (5.02e-01 | 5.27e+05) | 7.4026e+03 | 6.08e-06 | 2.56e-05 (5)
   059   | (4.19e-01 | 4.39e+05) | 7.4025e+03 | 6.87e-06 | 3.00e-05 (5)
   060   | (3.49e-01 | 3.66e+05) | 7.4025e+03 | 7.70e-06 | 3.53e-05 (5)
   061   | (5.82e-01 | 6.10e+05) | 7.4024e+03 | 6.23e-06 | 2.25e-05 (5)
   062   | (4.85e-01 | 5.08e+05) | 7.4024e+03 | 5.93e-06 | 2.64e-05 (5)
   063   | (4.04e-01 | 4.23e+05) | 7.4023e+03 | 6.26e-06 | 3.10e-05 (5)
   064   | (6.73e-01 | 3.53e+05) | 7.4023e+03 | 5.03e-06 | 3.64e-05 (5)
   065   | (5.61e-01 | 5.88e+05) | 7.4023e+03 | 4.68e-06 | 2.32e-05 (5)
   066   | (4.67e-01 | 4.90e+05) | 7.4022e+03 | 5.03e-06 | 2.73e-05 (5)
   067   | (3.90e-01 | 4.08e+05) | 7.4022e+03 | 5.68e-06 | 3.20e-05 (5)
   068   | (3.25e-01 | 3.40e+05) | 7.4021e+03 | 6.34e-06 | 3.76e-05 (5)
   069   | (5.41e-01 | 5.67e+05) | 7.4021e+03 | 5.12e-06 | 2.40e-05 (5)
   070   | (9.02e-01 | 4.73e+05) | 7.4021e+03 | 3.67e-06 | 2.82e-05 (5)
   071   | (7.51e-01 | 3.94e+05) | 7.4021e+03 | 3.06e-06 | 3.30e-05 (5)
   072   | (6.26e-01 | 3.28e+05) | 7.4020e+03 | 3.31e-06 | 3.88e-05 (5)
   073   | (5.22e-01 | 5.47e+05) | 7.4020e+03 | 3.68e-06 | 2.48e-05 (5)
   074   | (4.35e-01 | 4.56e+05) | 7.4020e+03 | 4.23e-06 | 2.91e-05 (5)
   075   | (3.62e-01 | 3.80e+05) | 7.4019e+03 | 4.91e-06 | 3.41e-05 (5)
   076   | (3.02e-01 | 6.33e+05) | 7.4019e+03 | 5.66e-06 | 9.84e-05 (4)
   077   | (2.52e-01 | 5.28e+05) | 7.4018e+03 | 6.06e-06 | 2.56e-05 (5)
   078   | (8.39e-01 | 4.40e+05) | 7.4018e+03 | 4.39e-06 | 3.00e-05 (5)
   079   | (6.99e-01 | 3.66e+05) | 7.4018e+03 | 2.95e-06 | 3.52e-05 (5)
   080   | (5.82e-01 | 6.11e+05) | 7.4018e+03 | 2.91e-06 | 2.25e-05 (5)
   081   | (4.85e-01 | 5.09e+05) | 7.4017e+03 | 3.19e-06 | 2.64e-05 (5)
   082   | (4.05e-01 | 4.24e+05) | 7.4017e+03 | 3.54e-06 | 3.10e-05 (5)
   083   | (6.74e-01 | 3.53e+05) | 7.4017e+03 | 3.01e-06 | 3.63e-05 (5)
   084   | (5.62e-01 | 5.89e+05) | 7.4017e+03 | 2.80e-06 | 2.32e-05 (5)
   085   | (4.68e-01 | 4.91e+05) | 7.4017e+03 | 3.03e-06 | 2.72e-05 (5)
   086   | (3.90e-01 | 4.09e+05) | 7.4016e+03 | 3.45e-06 | 3.20e-05 (5)
   087   | (3.25e-01 | 3.41e+05) | 7.4016e+03 | 3.88e-06 | 3.75e-05 (5)
   088   | (5.42e-01 | 5.68e+05) | 7.4016e+03 | 3.16e-06 | 2.40e-05 (5)
   089   | (9.03e-01 | 4.73e+05) | 7.4016e+03 | 2.30e-06 | 2.81e-05 (5)
   090   | (7.53e-01 | 3.95e+05) | 7.4015e+03 | 1.92e-06 | 3.30e-05 (5)
   091   | (6.27e-01 | 3.29e+05) | 7.4015e+03 | 2.09e-06 | 3.87e-05 (5)
   092   | (5.23e-01 | 5.48e+05) | 7.4015e+03 | 2.33e-06 | 2.47e-05 (5)
   093   | (4.36e-01 | 4.57e+05) | 7.4015e+03 | 2.69e-06 | 2.90e-05 (5)
   094   | (3.63e-01 | 3.81e+05) | 7.4015e+03 | 3.14e-06 | 3.41e-05 (5)
   095   | (3.02e-01 | 6.34e+05) | 7.4014e+03 | 3.61e-06 | 9.82e-05 (4)
   096   | (5.04e-01 | 5.29e+05) | 7.4014e+03 | 2.85e-06 | 2.55e-05 (5)
   097   | (8.40e-01 | 4.40e+05) | 7.4014e+03 | 2.07e-06 | 3.00e-05 (5)
   098   | (7.00e-01 | 3.67e+05) | 7.4014e+03 | 1.77e-06 | 3.52e-05 (5)
   099   | (5.83e-01 | 6.12e+05) | 7.4014e+03 | 1.88e-06 | 2.24e-05 (5)
   100   | (4.86e-01 | 5.10e+05) | 7.4014e+03 | 2.13e-06 | 2.63e-05 (5)
   101   | (4.05e-01 | 4.25e+05) | 7.4013e+03 | 2.46e-06 | 3.09e-05 (5)
   102   | (3.38e-01 | 3.54e+05) | 7.4013e+03 | 2.76e-06 | 3.63e-05 (5)
   103   | (1.13e+00 | 5.90e+05) | 7.4013e+03 | 1.86e-06 | 2.32e-05 (5)
   104   | (9.38e-01 | 4.92e+05) | 7.4013e+03 | 1.34e-06 | 2.72e-05 (5)
   105   | (7.82e-01 | 4.10e+05) | 7.4013e+03 | 1.37e-06 | 3.19e-05 (5)
   106   | (6.51e-01 | 3.41e+05) | 7.4013e+03 | 1.47e-06 | 3.75e-05 (5)
   107   | (5.43e-01 | 5.69e+05) | 7.4013e+03 | 1.70e-06 | 2.39e-05 (5)
   108   | (4.52e-01 | 4.74e+05) | 7.4013e+03 | 1.98e-06 | 2.81e-05 (5)
   109   | (3.77e-01 | 3.95e+05) | 7.4012e+03 | 2.31e-06 | 3.29e-05 (5)
   110   | (6.28e-01 | 3.29e+05) | 7.4012e+03 | 1.87e-06 | 3.87e-05 (5)
   111   | (5.23e-01 | 5.49e+05) | 7.4012e+03 | 1.82e-06 | 2.47e-05 (5)
   112   | (4.36e-01 | 4.57e+05) | 7.4012e+03 | 1.99e-06 | 2.90e-05 (5)
   113   | (3.64e-01 | 3.81e+05) | 7.4012e+03 | 2.28e-06 | 3.40e-05 (5)
   114   | (3.03e-01 | 6.35e+05) | 7.4012e+03 | 2.57e-06 | 9.81e-05 (4)
   115   | (1.01e+00 | 5.29e+05) | 7.4011e+03 | 1.67e-06 | 2.55e-05 (5)
   116   | (8.42e-01 | 4.41e+05) | 7.4011e+03 | 1.23e-06 | 2.99e-05 (5)
   117   | (7.01e-01 | 3.68e+05) | 7.4011e+03 | 1.25e-06 | 3.51e-05 (5)
   118   | (5.84e-01 | 6.13e+05) | 7.4011e+03 | 1.36e-06 | 2.24e-05 (5)
   119   | (4.87e-01 | 5.11e+05) | 7.4011e+03 | 1.56e-06 | 2.63e-05 (5)
   120   | (4.06e-01 | 4.26e+05) | 7.4011e+03 | 1.82e-06 | 3.09e-05 (5)
   121   | (3.38e-01 | 3.55e+05) | 7.4011e+03 | 2.13e-06 | 3.62e-05 (5)
   122   | (2.82e-01 | 5.91e+05) | 7.4011e+03 | 2.36e-06 | 2.31e-05 (5)
   123   | (9.39e-01 | 4.93e+05) | 7.4010e+03 | 1.66e-06 | 2.72e-05 (5)
   124   | (7.83e-01 | 4.10e+05) | 7.4010e+03 | 1.15e-06 | 3.19e-05 (5)
   125   | (6.52e-01 | 3.42e+05) | 7.4010e+03 | 1.19e-06 | 3.74e-05 (5)
   126   | (5.44e-01 | 5.70e+05) | 7.4010e+03 | 1.29e-06 | 2.39e-05 (5)
   127   | (4.53e-01 | 4.75e+05) | 7.4010e+03 | 1.48e-06 | 2.80e-05 (5)
   128   | (3.78e-01 | 3.96e+05) | 7.4010e+03 | 1.73e-06 | 3.29e-05 (5)
   129   | (3.15e-01 | 3.30e+05) | 7.4010e+03 | 1.99e-06 | 3.86e-05 (5)
   130   | (5.24e-01 | 5.50e+05) | 7.4010e+03 | 1.60e-06 | 2.47e-05 (5)
   131   | (8.74e-01 | 4.58e+05) | 7.4010e+03 | 1.18e-06 | 2.89e-05 (5)
   132   | (7.28e-01 | 3.82e+05) | 7.4010e+03 | 9.98e-07 | 3.40e-05 (5)
-------------------------------------------------------------------------
  ITER   | (   L1    |    L2   ) |   energy   |   diff   |  PD Res (iter) 
-------------------------------------------------------------------------
   001   | (4.00e+00 | 1.28e+02) | 6.8093e+03 | 4.60e-02 | 9.87e-05 (42)
   002   | (3.33e+00 | 1.07e+02) | 6.4850e+03 | 4.76e-02 | 1.00e-04 (44)
   003   | (2.78e+00 | 8.89e+01) | 6.2951e+03 | 2.93e-02 | 9.58e-05 (47)
